,Day-ahead price [EUR/MWh],datetime
2021-10-12 20:00:00+02:00,226.74,2021-10-12 20:00:00+02:00
2021-10-12 21:00:00+02:00,193.2,2021-10-12 21:00:00+02:00
2021-10-12 22:00:00+02:00,189.3,2021-10-12 22:00:00+02:00
2021-10-12 23:00:00+02:00,171.1,2021-10-12 23:00:00+02:00
2021-10-13 00:00:00+02:00,175.2,2021-10-13 00:00:00+02:00
2021-10-13 01:00:00+02:00,152.01,2021-10-13 01:00:00+02:00
2021-10-13 02:00:00+02:00,140.07,2021-10-13 02:00:00+02:00
2021-10-13 03:00:00+02:00,132.43,2021-10-13 03:00:00+02:00
2021-10-13 04:00:00+02:00,135.0,2021-10-13 04:00:00+02:00
2021-10-13 05:00:00+02:00,151.45,2021-10-13 05:00:00+02:00
2021-10-13 06:00:00+02:00,196.17,2021-10-13 06:00:00+02:00
2021-10-13 07:00:00+02:00,229.3,2021-10-13 07:00:00+02:00
2021-10-13 08:00:00+02:00,250.59,2021-10-13 08:00:00+02:00
2021-10-13 09:00:00+02:00,238.97,2021-10-13 09:00:00+02:00
2021-10-13 10:00:00+02:00,211.31,2021-10-13 10:00:00+02:00
2021-10-13 11:00:00+02:00,175.0,2021-10-13 11:00:00+02:00
2021-10-13 12:00:00+02:00,189.75,2021-10-13 12:00:00+02:00
2021-10-13 13:00:00+02:00,168.74,2021-10-13 13:00:00+02:00
2021-10-13 14:00:00+02:00,165.42,2021-10-13 14:00:00+02:00
2021-10-13 15:00:00+02:00,167.6,2021-10-13 15:00:00+02:00
2021-10-13 16:00:00+02:00,189.9,2021-10-13 16:00:00+02:00
2021-10-13 17:00:00+02:00,213.96,2021-10-13 17:00:00+02:00
2021-10-13 18:00:00+02:00,246.99,2021-10-13 18:00:00+02:00
2021-10-13 19:00:00+02:00,287.31,2021-10-13 19:00:00+02:00
2021-10-13 20:00:00+02:00,235.0,2021-10-13 20:00:00+02:00
2021-10-13 21:00:00+02:00,196.83,2021-10-13 21:00:00+02:00
2021-10-13 22:00:00+02:00,172.0,2021-10-13 22:00:00+02:00
2021-10-13 23:00:00+02:00,167.7,2021-10-13 23:00:00+02:00
2021-10-14 00:00:00+02:00,201.31,2021-10-14 00:00:00+02:00
2021-10-14 01:00:00+02:00,199.71,2021-10-14 01:00:00+02:00
2021-10-14 02:00:00+02:00,184.94,2021-10-14 02:00:00+02:00
2021-10-14 03:00:00+02:00,130.0,2021-10-14 03:00:00+02:00
2021-10-14 04:00:00+02:00,135.01,2021-10-14 04:00:00+02:00
2021-10-14 05:00:00+02:00,160.0,2021-10-14 05:00:00+02:00
2021-10-14 06:00:00+02:00,209.0,2021-10-14 06:00:00+02:00
2021-10-14 07:00:00+02:00,235.05,2021-10-14 07:00:00+02:00
2021-10-14 08:00:00+02:00,260.0,2021-10-14 08:00:00+02:00
2021-10-14 09:00:00+02:00,245.0,2021-10-14 09:00:00+02:00
2021-10-14 10:00:00+02:00,222.55,2021-10-14 10:00:00+02:00
2021-10-14 11:00:00+02:00,182.0,2021-10-14 11:00:00+02:00
2021-10-14 12:00:00+02:00,174.35,2021-10-14 12:00:00+02:00
2021-10-14 13:00:00+02:00,164.0,2021-10-14 13:00:00+02:00
2021-10-14 14:00:00+02:00,144.55,2021-10-14 14:00:00+02:00
2021-10-14 15:00:00+02:00,144.27,2021-10-14 15:00:00+02:00
2021-10-14 16:00:00+02:00,151.92,2021-10-14 16:00:00+02:00
2021-10-14 17:00:00+02:00,199.13,2021-10-14 17:00:00+02:00
2021-10-14 18:00:00+02:00,221.73,2021-10-14 18:00:00+02:00
2021-10-14 19:00:00+02:00,256.0,2021-10-14 19:00:00+02:00
2021-10-14 20:00:00+02:00,236.96,2021-10-14 20:00:00+02:00
2021-10-14 21:00:00+02:00,188.0,2021-10-14 21:00:00+02:00
2021-10-14 22:00:00+02:00,180.4,2021-10-14 22:00:00+02:00
2021-10-14 23:00:00+02:00,110.0,2021-10-14 23:00:00+02:00
2021-10-15 00:00:00+02:00,97.06,2021-10-15 00:00:00+02:00
2021-10-15 01:00:00+02:00,86.08,2021-10-15 01:00:00+02:00
2021-10-15 02:00:00+02:00,80.3,2021-10-15 02:00:00+02:00
2021-10-15 03:00:00+02:00,72.9,2021-10-15 03:00:00+02:00
2021-10-15 04:00:00+02:00,76.63,2021-10-15 04:00:00+02:00
2021-10-15 05:00:00+02:00,77.26,2021-10-15 05:00:00+02:00
2021-10-15 06:00:00+02:00,130.0,2021-10-15 06:00:00+02:00
2021-10-15 07:00:00+02:00,202.79,2021-10-15 07:00:00+02:00
2021-10-15 08:00:00+02:00,265.0,2021-10-15 08:00:00+02:00
